gpa:3.61, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.39, gre:440.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.31, gre:600.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.22, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.7, gre:660.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.15, gre:800.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.26, gre:420.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.45, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.78, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.7, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.97, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.55, gre:480.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.25, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.16, gre:560.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.07, gre:460.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.5, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.3, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.6, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.15, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.98, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.83, gre:220.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.46, gre:580.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.17, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.51, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.13, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.98, gre:440.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.67, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.77, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.65, gre:520.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.46, gre:540.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.84, gre:300.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.0, gre:340.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.63, gre:780.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.71, gre:480.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.28, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.14, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.58, gre:460.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.01, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.69, gre:420.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.7, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.9, gre:680.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.31, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.48, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.34, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.93, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:740.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.59, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.96, gre:420.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.43, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.64, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.71, gre:620.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.15, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.09, gre:620.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.2, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.47, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.23, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.65, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.95, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.06, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.35, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.03, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.35, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.8, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.36, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.85, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:780.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.43, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.12, gre:580.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.52, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.78, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.81, gre:760.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.27, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.31, gre:720.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.69, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.94, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:520.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.49, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.14, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.44, gre:460.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.36, gre:560.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.78, gre:480.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.93, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.63, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:580.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.89, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.77, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.76, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:2.42, gre:680.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.37, gre:620.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.78, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.49, gre:560.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.63, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.12, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.7, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.65, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.49, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.51, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:660.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.62, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.02, gre:420.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.86, gre:740.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.36, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.17, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.51, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.05, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.88, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.38, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.75, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.99, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:4.0, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.04, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.63, gre:460.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.65, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.89, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
